지역,권,항목,경보단계,발령시일,발령시,인구가중치,PM10,PM2.5,경보,주의보
세종,세종권,PM2.5,주의보,2019-12-24,15,0.006626511999999999,0,1,0,1
충북,중부권,PM2.5,주의보,2019-12-24,15,0.020966376000000002,0,1,0,1
충남,북부권,PM2.5,주의보,2019-12-24,14,0.056789935,0,1,0,1
경남,거제권,PM10,주의보,2019-12-17,13,0.004830666,1,0,0,1
경남,거제권,PM2.5,주의보,2019-12-17,13,0.004830666,0,1,0,1
경남,거창권,PM2.5,주의보,2019-12-11,17,0.001209807,0,1,0,1
전북,남원권,PM2.5,주의보,2019-12-11,17,0.001584584,0,1,0,1
전북,무주권,PM2.5,주의보,2019-12-11,17,0.00047286,0,1,0,1
전북,순창권,PM2.5,주의보,2019-12-11,17,0.000552224,0,1,0,1
전북,장수권,PM2.5,주의보,2019-12-11,17,0.000436631,0,1,0,1
제주,제주권,PM2.5,주의보,2019-12-11,17,0.013055323999999998,0,1,0,1
경남,함양권,PM2.5,주의보,2019-12-11,17,0.000771211,0,1,0,1
광주,광주권,PM2.5,주의보,2019-12-11,16,0.028338261,0,1,0,1
전북,임실권,PM2.5,주의보,2019-12-11,16,0.000562342,0,1,0,1
전북,진안권,PM10,주의보,2019-12-11,16,0.0004999819999999999,1,0,0,1
전북,진안권,PM2.5,주의보,2019-12-11,16,0.0004999819999999999,0,1,0,1
대전,동부권,PM2.5,주의보,2019-12-11,15,0.0032048520000000002,0,1,0,1
대전,서부권,PM2.5,주의보,2019-12-11,15,0.018674594,0,1,0,1
전남,서부권,PM2.5,주의보,2019-12-11,15,0.018674594,0,1,0,1
전북,완주권,PM10,주의보,2019-12-11,15,0.00179431,1,0,0,1
전북,완주권,PM2.5,주의보,2019-12-11,15,0.00179431,0,1,0,1
전북,전주권,PM10,주의보,2019-12-11,15,0.012732437,1,0,0,1
전북,전주권,PM2.5,주의보,2019-12-11,15,0.012732437,0,1,0,1
전북,김제권,PM10,주의보,2019-12-11,14,0.001632331,1,0,0,1
전북,김제권,PM2.5,주의보,2019-12-11,14,0.001632331,0,1,0,1
전북,부안권,PM10,주의보,2019-12-11,14,0.001036952,1,0,0,1
전북,부안권,PM2.5,주의보,2019-12-11,14,0.001036952,0,1,0,1
전북,익산권,PM10,주의보,2019-12-11,14,0.005599113,1,0,0,1
전북,정읍권,PM2.5,주의보,2019-12-11,14,0.002150778,0,1,0,1
전북,군산권,PM10,주의보,2019-12-11,13,0.005255895,1,0,0,1
전북,군산권,PM2.5,주의보,2019-12-11,13,0.005255895,0,1,0,1
경북,서부권,PM2.5,주의보,2019-12-11,13,0.018674594,0,1,0,1
